,bid,ask
1459889744.075978,420.93,420.94
1459889745.076825,420.93,420.94
1459889746.078187,420.93,420.94
1459889747.078599,420.93,420.94
1459889748.080805,420.93,420.94
1459889749.082282,420.93,420.94
1459889750.084438,420.93,420.94
1459889751.089644,420.93,420.94
1459889752.090605,420.93,420.94
1459889753.090872,420.93,420.94
1459889754.094822,420.93,420.94
1459889755.098092,420.93,420.94
1459889756.0999,420.93,420.94
1459889757.102292,420.93,420.94
1459889758.107546,420.93,420.94
1459889759.110246,420.93,420.94
1459889760.110541,420.93,420.94
1459889761.110764,420.91,420.94
1459889762.112703,420.91,420.94
1459889763.114253,420.91,420.94
1459889764.114439,420.91,420.93
1459889765.116265,420.91,420.93
1459889766.116483,420.91,420.93
1459889767.118213,420.91,420.93
1459889768.121565,420.91,420.92
1459889769.12291,420.91,420.92
1459889770.123055,420.91,420.92
1459889771.125146,420.91,420.92
1459889772.125379,420.91,420.92
1459889773.12909,420.91,420.92
1459889774.132605,420.91,420.92
1459889775.133562,420.91,420.92
1459889776.136966,420.91,420.92
1459889777.141761,420.91,420.92
1459889778.146701,420.91,420.92
1459889779.148276,420.91,420.92
1459889780.149998,420.91,420.92
1459889781.152521,420.91,420.92
1459889782.156394,420.91,420.92
1459889783.157995,420.91,420.92
1459889784.159325,420.91,420.92
1459889785.164473,420.91,420.92
1459889786.167973,420.91,420.92
1459889787.169432,420.91,420.92
1459889788.171908,420.91,420.92
1459889789.172336,420.91,420.92
1459889790.172591,420.91,420.92
1459889791.17308,420.69,420.9
1459889792.174153,420.71,420.85
1459889793.17523,420.72,420.78
1459889794.176106,420.73,420.74
1459889795.177332,420.73,420.74
1459889796.178722,420.73,420.74
1459889797.179453,420.73,420.74
1459889798.184691,420.73,420.74
1459889799.185859,420.73,420.74
1459889800.188459,420.73,420.74
1459889801.18885,420.73,420.74
1459889802.189642,420.73,420.74
1459889803.189923,420.73,420.74
1459889804.193803,420.73,420.74
1459889805.195406,420.73,420.74
1459889806.200658,420.73,420.74
1459889807.205085,420.73,420.74
1459889808.210294,420.73,420.74
1459889809.211019,420.73,420.74
1459889810.213848,420.73,420.74
1459889811.216782,420.73,420.74
1459889812.220622,420.73,420.74
1459889813.223888,420.73,420.74
1459889814.227986,420.73,420.74
1459889815.228679,420.73,420.74
1459889816.229106,420.73,420.74
1459889817.232353,420.73,420.74
1459889818.232973,420.73,420.74
1459889819.233086,420.73,420.74
1459889820.234252,420.73,420.74
1459889821.234479,420.73,420.74
1459889822.236469,420.73,420.74
1459889823.236787,420.72,420.74
1459889824.23695,420.72,420.74
1459889825.239689,420.72,420.73
1459889826.239888,420.72,420.73
1459889827.241409,420.72,420.73
1459889828.242381,420.72,420.73
1459889829.245685,420.72,420.73
1459889830.24736,420.72,420.73
1459889831.247948,420.72,420.73
1459889832.248704,420.72,420.73
1459889833.249027,420.72,420.73
1459889834.250269,420.72,420.73
1459889835.251159,420.72,420.73
1459889836.255523,420.72,420.73
1459889837.257466,420.72,420.73
1459889838.262057,420.72,420.73
1459889839.263495,420.72,420.73
1459889840.267852,420.72,420.73
1459889841.268644,420.72,420.73
1459889842.268962,420.72,420.73
1459889843.269312,420.72,420.73
1459889844.272243,420.72,420.73
1459889845.272729,420.72,420.73
1459889846.273724,420.72,420.73
1459889847.274912,420.72,420.73
1459889848.275278,420.72,420.73
1459889849.279455,420.72,420.73
1459889850.279964,420.72,420.73
1459889851.28033,420.62,420.73
1459889852.28449,420.62,420.69
1459889853.285946,420.53,420.54
1459889854.286905,420.53,420.54
1459889855.28847,420.53,420.54
